t_start,t_end,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R)
2,8,5,5,0.12658903992144938,0.2564664719377527,1.4384103622589048,3.4657359027997265,6.931471805599453,14.97866136776995,18.444397270569677
3,9,5,5,0.12658903992144938,0.2564664719377527,1.4384103622589048,3.4657359027997265,6.931471805599453,14.97866136776995,18.444397270569677
4,10,20,10,5.449326868131623,6.831591983749154,12.676601059500465,18.360303744254484,25.547137425616896,38.768282639663624,43.83636534871162
5,11,3.1179905699909995,1.5589952849954998,0.8495474893816494,1.0650419691677984,1.9762761281530181,2.862362696837795,3.982786679166881,6.0439569842608485,6.834068688998152
6,12,8.44421995943306,2.111054989858265,4.826601315730539,5.2966141344172435,6.941176946584021,8.268965211319665,9.756499801059356,12.18982775788644,13.056990624708948
7,13,2.9070848348905525,0.6669310008203971,1.7502549742940146,1.9036742385700405,2.433885273469059,2.8562454850701524,3.3249329116651403,4.083960036257837,4.352634340017506
8,14,2.530445219373465,0.49626113660241816,1.6529708295939414,1.7731166997574304,2.1804410248713393,2.4980785965677055,2.845198060040309,3.398201082509422,3.591765691743076
9,15,2.0940366617178214,0.37610008708296877,1.4227963156754222,1.5161171137460514,1.829611077505419,2.0715636890991007,2.333982672186679,2.748626280215638,2.8929363304252105
10,16,2.331987037822105,0.34763210261457334,1.7009673473910032,1.7911222992044298,2.089063038350433,2.3147359922935955,2.55611513054406,2.9317033707035516,3.061015223921113
11,17,1.8146491261068278,0.2592355894438325,1.3424874132790774,1.4103118397126373,1.6337296135273534,1.8023196148204539,1.982134415676947,2.261047896944829,2.3568602182128617
12,18,1.7881173020190906,0.2327930442558343,1.361197738581068,1.4231941915530053,1.626086334874204,1.7780251540093368,1.9391509671366776,2.1874686322009067,2.2723773435094445
13,19,1.2216671687216991,0.17452388124595702,0.9037960967935449,0.949457196682881,1.099867628788785,1.213366633412561,1.3344224537891973,1.5221939838754972,1.5866972344313193
14,20,1.3208888958996061,0.17975021121457124,0.9922923919531108,1.0397707401131933,1.1956203563636787,1.3127442690785998,1.4372826579083713,1.6297917493002516,1.6957597312192616
15,21,1.243589825327888,0.16923114007612144,0.9342229510853209,0.9789228428616397,1.1256520625954167,1.2359218260910574,1.3531721668973167,1.5344155311811924,1.5965230342168832
