t_start,t_end,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R)
2,8,1.55503985824834,0.155503985824834,1.265242494213547,1.308399297186851,1.4475218185500633,1.5498594749618881,1.6569119581935519,1.8193520736462245,1.8742731782888844
3,9,1.4191822114820702,0.13916226518636227,1.1595747071392877,1.1982969214856198,1.3230055194435104,1.4146361514835002,1.5104042478872057,1.6555752807750481,1.704621448788756
4,10,1.4307195773290222,0.13341528851028625,1.1812057439562555,1.2185680261720935,1.3386158988637866,1.4265747077978672,1.5183057506514772,1.6570102765326367,1.7037857651888644
5,11,1.639120328274816,0.1356545635808084,1.3840301222743725,1.422550908312379,1.5456980657813941,1.6353795671589468,1.7284653460399053,1.868450262980558,1.9154671262927265
6,12,3.1166837574686923,0.1715677942165452,2.789449840222557,2.8399502920414426,2.999311282555747,3.1135361580098224,3.2306251943723368,3.4041541270446256,3.4618045372623505
7,13,2.396370409728376,0.11463394272736756,2.1769301322222665,2.210982984581575,2.3180870312423196,2.394542762757305,2.4726615283035245,2.587992171566306,2.626196753764474
8,14,2.060191854517128,0.08824892314147909,1.8908349031972822,1.9172159284134733,2.0000020121297704,2.058931935437955,2.119008284417843,2.2074655150214495,2.236708656022133
9,15,1.8410947590304059,0.07266221418519221,1.7014147853206825,1.7232284772688502,1.7915777525018755,1.8401389310336738,1.889569829829875,1.9622214795143966,1.986206517515477
10,16,1.7161766204548405,0.0629604138976542,1.5949785605186388,1.6139456361328033,1.6733012438045312,1.7154067507031425,1.758212767854624,1.8210337157509546,1.8417497123164426
11,17,1.6045404340073304,0.05556069125656189,1.497477012730609,1.5142579995639576,1.5667239708067124,1.6038991764635058,1.6416578647372166,1.6970102672749023,1.7152480138359896
12,18,1.5624543296079363,0.05079977206203321,1.464462077895366,1.4798456054850277,1.5278969321769538,1.5619038164237613,1.5964116126460681,1.6469409123482301,1.6635750605880175
13,19,1.2582514344927576,0.04243976756257904,1.1764350178547796,1.1892674562076757,1.2293721132582198,1.2577743140634339,1.2866106477623829,1.3288629216370953,1.3427792482282888
14,20,1.3198042901575802,0.04246400697683059,1.2378778814885485,1.2507425324081864,1.2909199324523555,1.3193488990960975,1.3481922258342594,1.3904194347404588,1.4043186148472484
15,21,1.2094879650379196,0.03919973012645547,1.133868224033128,1.145740465438619,1.1828223894365146,1.2090645012252375,1.2356919226869612,1.2746799443793237,1.2875141840495128
16,22,1.2268325706409333,0.03866077556663272,1.152219281780864,1.1639413728259231,1.2005396489957842,1.2264264930677304,1.2526828264756464,1.2911089414884511,1.3037535359279389
17,23,1.3104280264336519,0.038948430302435444,1.235192796739473,1.2470284036878527,1.2839516183256685,1.3100421726631897,1.336483813641581,1.3751438359586445,1.387856006834059
18,24,1.2059795975579322,0.035844022986501994,1.1367410356540835,1.1476332786590706,1.1816135069747329,1.2056244984869176,1.229958593074833,1.2655371958023696,1.2772361356961863
19,25,1.1557546915383254,0.034260566045758646,1.0895722614677985,1.0999843389132864,1.1324654738040112,1.1554161752851246,1.1786748911687224,1.2126797577889472,1.2238608602213221
20,26,1.147160674439742,0.033609440899549266,1.0822249327329334,1.0924435069991727,1.1243160958929752,1.1468324620493804,1.1696474669981654,1.2029974078556416,1.2139615998861897
21,27,1.058334209762703,0.03178023186762495,0.9969548495207707,1.0066085174918116,1.03672890902908,1.0580161221043907,1.0795927618845702,1.1111449317581978,1.121521215359341
22,28,1.0881289874754563,0.032185278004023696,1.0259534701621913,1.0357356377157145,1.0662508473140495,1.0878116726446005,1.1096612212682635,1.1416047306151744,1.1521077588905089
23,29,1.042354907863343,0.031244101027374804,0.9820093988441961,0.9915008462433884,1.0211143815180364,1.04204274871637,1.0632551482644614,1.0942737764279407,1.1044743714523666
24,30,1.013936332750131,0.03076775246848635,0.954521761202439,0.963864205328984,0.9930176547420432,1.0136251353937298,1.0345157734447619,1.0650699864724533,1.0751193926535023
25,31,1.1011263572816075,0.032150531156163065,1.039006249784944,1.0487824722953227,1.079273971562402,1.1008134642120646,1.1226376566344958,1.1545375524433181,1.1650245911559114
26,32,1.0619172886135841,0.031125346957814822,1.001781361345803,1.01124452696648,1.0407610982491846,1.0616132040748014,1.0827419948885684,1.1136273136747017,1.1237812844996706
27,33,1.0724978586094676,0.031051044376153736,1.0124948368730675,1.0219396093738293,1.05139411462194,1.072198209386588,1.0932749533067265,1.124078241832873,1.1342037441527788
28,34,1.0317772679625692,0.030190098773307125,0.9734468416021532,0.9826262318283706,1.0112570391453235,1.0314828259238447,1.051976524006046,1.0819326759430834,1.0917809660651183
29,35,1.0545196637124241,0.030466760139850262,0.9956439492455146,1.0049116953924166,1.0338133483023715,1.0542262670830882,1.0749061457929046,1.1051284377692667,1.1150627094624668
30,36,1.053504350873466,0.030261121803883524,0.9950211778398107,1.0042282803867495,1.0329386788691306,1.0532146223735903,1.0737541881250443,1.1037687146849797,1.1136340099334407
31,37,0.9548361307574885,0.028620766601586203,0.8995573846166516,0.9082519058795775,0.9353790131885998,0.9545501812888117,0.9739815336581307,1.002395758672654,1.0117398857171673
32,38,0.8899675947625548,0.027948288394619155,0.8360259331242443,0.8445011062411502,0.870960689976006,0.8896750518416594,0.9086555979926596,0.9364319777189136,0.9455717329952658
33,39,0.9615118229010534,0.029701199399704684,0.9041723421103759,0.9131848277116916,0.9413154633004159,0.9612060158287943,0.9813748214184541,1.010881957756803,1.0205891591292693
34,40,0.9490742110982443,0.029687575039299616,0.8917721335233434,0.9007761146374447,0.928885098654006,0.9487646810393139,0.9689259042152505,0.9984281468524292,1.008135300741905
35,41,0.9657937953354141,0.03016633004524122,0.9075663155728599,0.9167160198784579,0.9452793447290757,0.9654797342169981,0.9859658872744907,1.0159428659860126,1.0258060365506811
36,42,0.9743965644377857,0.030435035407916505,0.9156504257583596,0.9248816306843551,0.9536993821938237,0.9740797058326817,0.9947483384685281,1.0249923359033917,1.0349433622602542
37,43,0.9120161342760689,0.029527612582135668,0.8550538005381036,0.8639970706563384,0.8919301808949179,0.9116974901596359,0.9317547336500877,0.9611221265826988,0.9707892722825213
38,44,0.9399483225067155,0.030416013435044797,0.8812716620529382,0.8904842038186616,0.9192581301957521,0.9396202631786426,0.9602808972774187,0.990531486155172,1.000489292417984
39,45,0.9073158373299919,0.03014354965375317,0.8491897389669746,0.8583099443114097,0.8868064670984823,0.9069820417199518,0.9274613373857907,0.9574603427062696,0.9673388421778434
40,46,0.7990580052912265,0.028684510705382592,0.7438189584147226,0.7524688026507519,0.7795280634198394,0.7987147935401545,0.8182138140973769,0.8468179408722063,0.8562474644968655
41,47,0.779203379227739,0.02930495915570085,0.7228176165332886,0.7316356700253678,0.7592423483205831,0.7788360345628155,0.7987639711150846,0.8280241422054857,0.8376766940560904
42,48,0.7201343331881891,0.029181315800518415,0.6640681056881406,0.6728169420045172,0.7002428969024628,0.7197402093688703,0.7395961410558699,0.7687961264286937,0.7784402873774613
43,49,0.6396871583038055,0.02872280131745109,0.5846228145091708,0.5931868438848669,0.6200867428770491,0.6392573124194934,0.6588190093712017,0.6876537297326099,0.6971942185578914
44,50,0.6654611009148569,0.03099361339399643,0.606093308579487,0.6153148969998926,0.6443022492893226,0.6649799906535114,0.6860955080495733,0.7172484322182345,0.7275629282138768
45,51,0.6687018482426785,0.032551896656442196,0.6064151655956399,0.6160746293318616,0.6464675414263852,0.6681737219672634,0.6903604624879831,0.72313057393143,0.7339897390386854
46,52,0.7613352417912261,0.03625405913291553,0.6919276045962366,0.702700102913699,0.7365787285555866,0.7607598579266315,0.7854645470445278,0.8219330881330251,0.8340126442982068
47,53,0.7932498128234787,0.03790294218602652,0.7206913663345087,0.7319514917433206,0.7673662919962353,0.7926462036906573,0.8184753584264565,0.8566071215097735,0.869238421223124
48,54,0.737792027225017,0.03726412468258424,0.6665543541395974,0.6775865119437414,0.7123275290611436,0.7371647479816996,0.7625727524559479,0.8001372748478222,0.8125943615299139
49,55,0.7951453129004018,0.03995755540455112,0.7187487692905421,0.7305821666430532,0.7678419837550119,0.7944760989155706,0.8217191572226064,0.8619912361355296,0.8753448229613222
50,56,0.7758626935942979,0.04033518078488961,0.6988116515327283,0.7107305698554021,0.7482894966344925,0.7751638302531615,0.8026740892860149,0.8433787343625626,0.8568851826474186
51,57,0.9140416572737838,0.044922696651836916,0.8281042293857424,0.8414267035488747,0.8833540108323358,0.9133058193450408,0.9439271925720141,0.9891666495875335,1.004160663716543
52,58,0.8848584177270582,0.044242920886352906,0.8002577605995848,0.8133644547707656,0.8546287492886657,0.8841211450537928,0.9142844126635066,0.9588673144750636,0.973648802209283
53,59,0.8579275862588295,0.043952961711497214,0.773933567444625,0.786934016200757,0.8278868805239715,0.8571771103011363,0.8871502284936975,0.9314811298996869,0.9461863564983527
54,60,1.0125108544063404,0.048546179704345105,0.9195855118326761,0.9340045048436311,0.9793578223564001,1.011735089803959,1.0448182503144166,1.0936634360176334,1.1098446751084736
55,61,1.181210218764973,0.05184937390187992,1.0817598456772062,1.0972389548457722,1.1458371556399498,1.1804516604774584,1.215756394530063,1.2677690168013314,1.2849713110612417
56,62,1.1267872412629019,0.048760852764371636,1.033231729576358,1.0478001845868257,1.0935264262542195,1.1260839565478697,1.1592814204116968,1.208173286537577,1.2243393673917702
57,63,1.0731435002468284,0.04648300486540323,0.9839602186175035,0.9978474030581294,1.0414361312590097,1.0724724407685469,1.1041193614875542,1.1507286619243773,1.1661402671204
58,64,0.9538133331987532,0.04335515150903424,0.8707204612198043,0.8836382685822217,0.9242237245710497,0.9531565174525125,0.982686964084102,1.0262288774315236,1.0406387374116643
59,65,0.9393384579328876,0.04351401378905152,0.8559775352013659,0.8689284426227614,0.9096339816530007,0.938666627523293,0.9683105907580851,1.0120401706790825,1.026517233905833
60,66,0.9608842366215482,0.0445599394844229,0.875521742457071,0.8887831102705448,0.9304653903297099,0.9601955185670115,0.9905523307932771,1.035334666330978,1.0501605522888207
61,67,0.8662086960265215,0.04257183486017767,0.7847684829263907,0.7973937750898936,0.8371269731130903,0.8655113654314976,0.8945302832919699,0.9374023020435435,0.9516116603627588
62,68,0.7866461092362839,0.041517593719236766,0.7073679961986741,0.7196239815818367,0.758259076001697,0.7859158249954395,0.8142370921720441,0.8561593359134527,0.8700742211909379
63,69,0.8820543235092455,0.045609943259351506,0.7949148050560335,0.8083971770625104,0.8508774368386256,0.8812683035199427,0.9123744025630763,0.9583926896545593,0.9736605777046631
64,70,0.8750501104246174,0.04611919026206069,0.7869819555011263,0.8005976024529237,0.8435173748912895,0.8742400123476322,0.9056997939924727,0.952265973175173,0.967721824186817
65,71,0.8821925366234615,0.04702102019292378,0.7924292851417926,0.8063006549609415,0.8500384793130333,0.8813572678116375,0.9134361058262961,0.960933634799964,0.9767023813331147
66,72,0.911083535966302,0.048492083682924826,0.818508485551604,0.8328152008684246,0.8779241488223736,0.9102233561445963,0.943305280478316,0.9922860623280675,1.0085467422357606
67,73,0.8442036369910465,0.04711885220098256,0.7543679856897209,0.7682237119779166,0.8119627561170052,0.8433271597192826,0.8754891165087665,0.9231733504849056,0.9390200400729449
68,74,0.7811917763228186,0.04635520358358982,0.6929699447904516,0.7065397709932014,0.7494460669728892,0.7802750761306368,0.8119382490368156,0.8589707828135813,0.8746229073743255
69,75,0.703655431679079,0.045515686133816506,0.6172667817945534,0.6304995680575528,0.6724441923193333,0.7026742870542028,0.7337972043950376,0.7801581375515019,0.7956195503005001
70,76,0.6981830103707799,0.047505336735797404,0.6081725350064724,0.6219239897719127,0.6655810736061305,0.6971058635481222,0.7296108486157722,0.7781163606637588,0.7943144635656828
71,77,0.8366417646480181,0.05434572257935634,0.7335080652673523,0.749302459583116,0.7993730983865077,0.8354653479825424,0.8726281150308348,0.9279940170624926,0.9464605859124848
72,78,0.8393378294931614,0.055224374755887914,0.7345815231514651,0.7506139219707797,0.8014589512894941,0.8381269749899597,0.8758968573622301,0.9321921597431536,0.9509749450956982
73,79,0.9027066771277872,0.058148448776813945,0.7923259313362433,0.8092373088099846,0.8628354287498804,0.9014584276463531,0.9412173082771333,1.000434024591159,1.0201807492726973
74,80,1.0728167575866334,0.06377233677436668,0.95145361952563,0.9701195563375611,1.0291420542124516,1.0715533985484318,1.115114353947457,1.1798234653331692,1.2013591399070511
75,81,1.138437151808051,0.06424572524421762,1.0159862125447803,1.0348633235803812,1.0944706094611911,1.1372288481437185,1.18108658862224,1.2461326769638823,1.2677545045259906
76,82,1.2035517296282137,0.06414952273194229,1.0810901216539373,1.1000144612341018,1.1596848075177084,1.202412194683809,1.246176497116901,1.3109761080591138,1.3324889880441129
77,83,1.5182571187727991,0.06951621801791448,1.3850471514461993,1.4057510428504838,1.4708088161234134,1.5171962743588434,1.5645490233781287,1.6343818665571004,1.6574956176517768
78,84,1.6903964393670656,0.06750793115700296,1.560655072573476,1.5809094845474316,1.6443864687366452,1.689497855325095,1.7354268760250082,1.8029485678187491,1.8252442822561594
79,85,1.3373224820175362,0.054102276619080465,1.2333720211566883,1.2495937507793446,1.3004442958252134,1.336592971542267,1.3734054397667288,1.4275396580235988,1.4454186050093882
80,86,1.1446105202258534,0.04790045945272665,1.0526401623410233,1.0669772541258284,1.1119482856507854,1.1439423990029571,1.1765444478352394,1.2245228265959958,1.2403776718885018
81,87,1.1723072673359545,0.048019576702903105,1.0800672623587266,1.0944560424730267,1.1395711130543646,1.1716516797322507,1.2043287760850385,1.2523947779635747,1.2682728436071826
82,88,1.0973766220210477,0.04564485005568644,1.009725952519372,1.023392284775651,1.0662544245301706,1.0967438284554358,1.1278090222463493,1.1735194924944687,1.1886233265463229
83,89,1.076107409924252,0.044876781208566356,0.9899363179261972,1.0033708553571246,1.0455080741575329,1.075483643874212,1.1060267893082054,1.1509717039024037,1.165823235036072
84,90,0.8173041010021406,0.038919242904863836,0.742794025274043,0.7543584538852632,0.7907276354934671,0.8166864183225929,0.8432072499112303,0.8823567422151308,0.8953243158281173
85,91,0.5518382877673973,0.03333777015857806,0.48842543904884,0.49817116976895215,0.5290014159824339,0.5511670970374077,0.5739435394063178,0.6077949390389336,0.6190652819191457
86,92,0.8511568277542075,0.04536681135204149,0.7645514653097837,0.7779348375802653,0.8201339565740443,0.8503509438652831,0.8813012419794598,0.9271277984385813,0.9423417973329581
87,93,1.5563701515433046,0.06255579801497761,1.4361615912491421,1.4549241554278323,1.5137325384769422,1.555532121889922,1.598094240579258,1.660674763604768,1.6813410680290797
88,94,1.0992114145606793,0.04752305360678188,1.0080289698465885,1.0222283267863688,1.0667952574905033,1.0985266235467586,1.1308810953034159,1.178530406656334,1.1942853781987237
89,95,1.0771445984010901,0.04626732219473374,0.9883590632725202,1.0021880986540812,1.0455872101925527,1.0764822203260138,1.1079799417450664,1.1543605489625144,1.1696942857297437
90,96,0.9880180585266783,0.044009822225623746,0.9036318912362538,0.9167598437440444,0.9579884796129803,0.9873646843168377,1.0173354098473009,1.061505012471683,1.0761172044483094
91,97,0.9402922366066881,0.043234683101431436,0.8574521164139444,0.8703254830596211,0.9107809758777935,0.9396296754070854,0.9690812574442316,1.0125190687844,1.0268975368277935
92,98,0.9409717742307223,0.043873035194428374,0.8569357835550621,0.8699885757632334,0.9110199665034221,0.9402899985366578,0.9701803979197572,1.0142805950795215,1.028882133473023
93,99,0.7727034576492628,0.040225335268472856,0.6958649811653195,0.7077503763306211,0.7452048732654777,0.7720055540872451,0.7994412871111721,0.8400371821518459,0.853507926597646
94,100,0.28015936900272825,0.025261119589734836,0.23283982632334688,0.23994314420592902,0.2627326421405376,0.2794004963951966,0.29675898734557926,0.3229642834061408,0.33179107763760396
95,101,0.41704494686235705,0.03563055439639344,0.3501367348249886,0.3602188484003656,0.39249166097639065,0.4160306790440569,0.44049274274697753,0.4773309320301049,0.4897166260766323
96,102,0.5260194982251717,0.043987960249873885,0.4433398091203506,0.4558165336003987,0.4957198597188995,0.5247938549648704,0.5549832507048454,0.6004033902240834,0.6156637997068767
97,103,0.541799420153313,0.047157586529222494,0.4533190944002129,0.4666346864690585,0.5092906592478348,0.5404318557217067,0.5728176290879379,0.6216292183263908,0.6380507555597147
98,104,0.7564538917116378,0.05871220857245891,0.6457550809397866,0.6625401188482188,0.7160689635809584,0.7549354514386528,0.7951837626340806,0.8555473582127767,0.8757812149073817
99,105,0.7938878887127883,0.060888421571266615,0.6790315558049812,0.6964596720994397,0.7520151499642929,0.7923317895802741,0.8340645174603243,0.8966242567189853,0.9175867458246179
100,106,0.8496389764665597,0.06368313370676955,0.7294029519193004,0.7476725523453656,0.8058624012424218,0.8480484230272151,0.8916818764825994,0.957031074761867,0.978913341954396
101,107,0.7794374492611537,0.06142827647751762,0.6636890980961215,0.6812231381773541,0.7371723683005746,0.7778243024477555,0.8199442533394272,0.8831545216608832,0.9043524594614456
102,108,0.681092294369312,0.05883741280124138,0.5706600554322436,0.5872879359398689,0.6405380174551537,0.6793987862311798,0.7198007579516833,0.7806735799117462,0.8011476901429941
103,109,0.6228152249678133,0.05885050707177072,0.5128241295849476,0.5292776835431592,0.5821760319431872,0.6209625921758631,0.6614352393789701,0.7226725505891775,0.7433334876279141
104,110,0.743607639480843,0.06788177967947115,0.6165246330175655,0.63558431619581,0.6967663773217978,0.7415430858480148,0.7881987193968967,0.8586736391149792,0.8824220943852558
105,111,0.6142937293244347,0.06335956038687704,0.49641186316181113,0.5139218019712549,0.5704547625370714,0.6121167613732295,0.6557601219398402,0.7220918933712042,0.7445454546420134
106,112,0.6237020446385678,0.0672555211260315,0.49888112915145666,0.5173503399112908,0.5771184444722434,0.6212862677025409,0.6676528659453242,0.738294671494969,0.76224959462109
107,113,0.6562751075325379,0.07247346164975219,0.5219550689280738,0.5417871490166846,0.6060483025638617,0.6536092590739305,0.7035966381237164,0.7798570820650622,0.8057425970636268
108,114,0.6241409138755397,0.07355571210289384,0.4883518257440231,0.5082773076700178,0.5730805309566472,0.6212537629045112,0.672054970985024,0.7498535524115273,0.7763345472793118
109,115,0.6845712008368606,0.08067748971946034,0.5356348035327231,0.5574895013839388,0.6285670728060128,0.6814045114510268,0.7371243709354744,0.8224555311374894,0.8515004568152971
110,116,0.6207234789972769,0.0794754975519038,0.4748042773495982,0.49603318949608227,0.5654316610309369,0.6173348623044214,0.672322709931596,0.7569736172150708,0.7858958945068606
111,117,0.7043504346842544,0.08873981361975145,0.5412422134114344,0.5650130968670727,0.6426405752724526,0.7006272385905499,0.7620030644478328,0.8563889634160449,0.888613001435061
112,118,0.606094594608404,0.08487021898671786,0.45127723586009105,0.4735707005740192,0.5468990595886065,0.6021378279722043,0.6609787583008523,0.7521167356473315,0.7833923168334743
113,119,0.6573647956783368,0.09296542094749224,0.4879088218940555,0.5122808694552362,0.5925040558238298,0.6529875956910105,0.7174560963611363,0.8173812797203571,0.8516896991590817
114,120,0.6407486071578549,0.09551716280621812,0.4673664308527423,0.4921378634833397,0.5740015747849573,0.6360086222372129,0.702331180691651,0.8055297138926845,0.8410600957062707
